iter	Passed	Remaining
779	5356	1510
780	5362	1503
781	5368	1496
782	5374	1489
783	5381	1482
784	5388	1475
785	5394	1468
786	5401	1461
787	5409	1455
788	5415	1448
789	5423	1441
790	5429	1434
791	5436	1427
792	5442	1420
793	5448	1413
794	5455	1406
795	5461	1399
796	5468	1392
797	5474	1385
798	5480	1378
799	5487	1371
800	5494	1364
801	5500	1358
802	5507	1351
803	5513	1344
804	5520	1337
805	5526	1330
806	5532	1323
807	5539	1316
808	5545	1309
809	5552	1302
810	5559	1295
811	5565	1288
812	5572	1281
813	5578	1274
814	5586	1268
815	5592	1260
816	5598	1254
817	5605	1247
818	5611	1240
819	5618	1233
820	5625	1226
821	5634	1220
822	5641	1213
823	5648	1206
824	5656	1199
825	5663	1193
826	5671	1186
827	5677	1179
828	5685	1172
829	5691	1165
830	5697	1158
831	5703	1151
832	5709	1144
833	5715	1137
834	5722	1130
835	5727	1123
836	5734	1116
837	5740	1109
838	5747	1102
839	5754	1096
840	5760	1089
841	5767	1082
842	5775	1075
843	5780	1068
844	5786	1061
845	5792	1054
846	5799	1047
847	5806	1040
848	5812	1033
849	5818	1026
850	5825	1019
851	5832	1013
852	5839	1006
853	5845	999
854	5852	992
855	5858	985
856	5864	978
857	5870	971
858	5876	964
859	5884	957
860	5891	951
861	5897	944
862	5903	937
863	5910	930
864	5917	923
865	5923	916
866	5930	909
867	5938	903
868	5945	896
869	5952	889
870	5959	882
871	5966	875
872	5972	868
873	5979	861
874	5985	855
875	5991	848
876	5997	841
877	6004	834
878	6013	827
879	6020	820
880	6026	814
881	6033	807
882	6039	800
883	6047	793
884	6055	786
885	6062	780
886	6068	773
887	6074	766
888	6081	759
889	6088	752
890	6096	745
891	6105	739
892	6111	732
893	6117	725
894	6124	718
895	6131	711
896	6137	704
897	6143	697
898	6151	691
899	6159	684
900	6164	677
901	6171	670
902	6178	663
903	6184	656
904	6190	649
905	6198	643
906	6204	636
907	6210	629
908	6217	622
909	6223	615
910	6229	608
911	6236	601
912	6243	594
913	6249	588
914	6257	581
915	6263	574
916	6269	567
917	6275	560
918	6282	553
919	6288	546
920	6294	539
921	6300	533
922	6307	526
923	6314	519
924	6323	512
925	6331	505
926	6340	499
927	6348	492
928	6355	485
929	6362	478
930	6368	472
931	6375	465
932	6381	458
933	6388	451
934	6394	444
935	6400	437
936	6407	430
937	6413	423
938	6421	417
939	6427	410
940	6434	403
941	6441	396
942	6447	389
943	6453	382
944	6460	375
945	6466	369
946	6472	362
947	6478	355
948	6484	348
949	6490	341
950	6497	334
951	6504	327
952	6510	321
953	6516	314
954	6524	307
955	6531	300
956	6537	293
957	6543	286
958	6550	280
959	6556	273
960	6562	266
961	6569	259
962	6575	252
963	6580	245
964	6588	238
965	6594	232
966	6601	225
967	6608	218
968	6614	211
969	6620	204
970	6627	197
971	6634	191
972	6639	184
973	6646	177
974	6652	170
975	6658	163
976	6664	156
977	6671	150
978	6678	143
979	6684	136
980	6691	129
981	6697	122
982	6703	115
983	6709	109
984	6715	102
985	6722	95
986	6728	88
987	6734	81
988	6740	74
989	6746	68
990	6752	61
991	6759	54
992	6764	47
993	6772	40
994	6777	34
995	6785	27
996	6792	20
997	6798	13
998	6805	6
999	6812	0
